"Genes","Correlation"
"ARMC7",0.663003663003663
"ARMC8",0.608669108669109
"ARMC9",0.730769230769231
"ARMCX1",0.776556776556776
"ARMCX2",0.894993894993895
"ARMCX3",0.747863247863248
"ARMCX5",0.808302808302808
"ARMCX6",0.647741147741148
"ARNT2",0.736874236874237
"ARNTL2",0.752136752136752
"ARNTL",0.87973137973138
"ARNT",0.474358974358974
"ARPC1A",0.528693528693529
"ARPC1B",0.974358974358974
"ARPC2",0.710622710622711
"ARPC3",0.68009768009768
"ARPC4",0.288156288156288
"ARPC5L",0.545787545787546
"ARPC5",0.7997557997558
"ARPM1",0.908424908424908
"ARR3",-0.116605616605617
"ARRB1",0.500610500610501
"ARRB2",0.898656898656899
"ARRDC1",0.434676434676435
"ARRDC2",0.973748473748474
"ARRDC3",0.688644688644689
"ARRDC4",0.855921855921856
"ARRDC5",0.283882783882784
"ARSA",0.737484737484737
"ARSB",0.292429792429792
"ARSD",0.59035409035409
"ARSE",0.902930402930403
"ARSF",0.895604395604395
"ARSG",0.938949938949939
"ARSJ",0.946275946275946
"ARSK",0.653846153846154
"ART1",0.0787545787545788
"ART3",0.971916971916972
"ART4",0.468253968253968
"ART5",0.864468864468864
"ARTN",0.189255189255189
"ARV1",0.658119658119658
"ARVCF",0.874847374847375
"ARX",0.556166056166056
"AR",0.888278388278388
"AS3MT",0.766178266178266
"ASAH1",0.919413919413919
"ASAM",0.658730158730159
"ASB10",-0.00305250305250305
"ASB11",0.14041514041514
"ASB12",0.711843711843712
"ASB13",0.796092796092796
"ASB14",0.300976800976801
"ASB15",-0.120879120879121
"ASB16",0.0647130647130647
"ASB17",-0.176434676434676
"ASB1",0.282661782661783
"ASB2",0.943223443223443
"ASB3",0.816849816849817
"ASB4",0.191086691086691
"ASB5",0.837606837606838
"ASB6",0.385836385836386
"ASB7",0.420634920634921
"ASB8",0.464590964590965
"ASB9",0.802197802197802
"ASCC1",0.775946275946276
"ASCC2",0.669108669108669
"ASCC3",0.493894993894994
"ASCL1",0.682539682539682
"ASCL2",0.865689865689866
"ASCL3",0.0732600732600732
"ASF1B",0.976800976800977
"ASGR1",0.976800976800977
"ASGR2",0.733211233211233
